DATE,TYPE,TESTED,RECOVERED,VACCINATED 2 ,VACCINATED 1,CONFIRMED ,DECEASED
01-06-2020,delta,128868,3882,0,0,7724,201
01-06-2020,total,3966075,95744,0,0,198372,5606
02-06-2020,delta7,861073,35984,0,0,56327,1482
02-06-2020,total,4103233,100275,0,0,207184,5828
02-06-2020,delta,137158,4531,0,0,8812,222
03-06-2020,delta,139485,3789,0,0,9688,259
03-06-2020,total,4242718,104064,0,0,216872,6087
03-06-2020,delta7,880582,36339,0,0,58769,1553
04-06-2020,total,4386379,108454,0,0,226719,6361
04-06-2020,delta,143661,4390,0,0,9847,274
04-06-2020,delta7,902541,37558,0,0,61362,1651
05-06-2020,delta7,912718,30594,0,0,62696,1669
05-06-2020,total,4524317,113225,0,0,236191,6647
05-06-2020,delta,137938,4771,0,0,9472,286
06-06-2020,delta7,929359,31724,0,0,64740,1761
06-06-2020,total,4666386,118658,0,0,246599,6944
06-06-2020,delta,142069,5433,0,0,10408,297
07-06-2020,delta7,937227,31987,0,0,66833,1800
07-06-2020,total,4774434,123849,0,0,257481,7205
07-06-2020,delta,108048,5191,0,0,10882,261
08-06-2020,delta7,950041,33276,0,0,67645,1870
08-06-2020,total,4916116,129020,0,0,266017,7476
08-06-2020,delta,141682,5171,0,0,8536,271
09-06-2020,total,5061332,134654,0,0,275998,7748
09-06-2020,delta7,958099,34379,0,0,68814,1920
09-06-2020,delta,145216,5634,0,0,9981,272
10-06-2020,total,5213140,140929,0,0,287154,8106
10-06-2020,delta,151808,6275,0,0,11156,358
10-06-2020,delta7,970422,36865,0,0,70282,2019
11-06-2020,delta7,977066,38519,0,0,71570,2139
11-06-2020,total,5363445,146973,0,0,298289,8500
11-06-2020,delta,150305,6044,0,0,11135,394
12-06-2020,delta,143737,7263,0,0,11306,388
12-06-2020,total,5507182,154236,0,0,309595,8888
12-06-2020,delta7,982865,41011,0,0,73404,2241
13-06-2020,total,5658614,162327,0,0,321634,9197
13-06-2020,delta,151432,8091,0,0,12039,309
13-06-2020,delta7,992228,43669,0,0,75035,2253
14-06-2020,delta7,999699,45836,0,0,75557,2316
14-06-2020,total,5774133,169685,0,0,333038,9521
14-06-2020,delta,115519,7358,0,0,11404,324
15-06-2020,delta,146936,10640,0,0,10032,396
15-06-2020,total,5921069,180325,0,0,343070,9917
15-06-2020,delta7,1004953,51305,0,0,77053,2441
16-06-2020,delta,163187,7226,0,0,11085,2004
16-06-2020,total,6084256,187551,0,0,354155,11921
16-06-2020,delta7,1022924,52897,0,0,78157,4173
17-06-2020,delta7,1036528,53512,0,0,80109,4156
17-06-2020,total,6249668,194441,0,0,367263,12262
17-06-2020,delta,165412,6890,0,0,13108,341
18-06-2020,delta,176959,10741,0,0,13829,343
18-06-2020,total,6426627,205182,0,0,381092,12605
18-06-2020,delta7,1063182,58209,0,0,82803,4105
19-06-2020,delta7,1109314,59975,0,0,86237,4081
19-06-2020,delta,189869,9029,0,0,14740,364
19-06-2020,total,6616496,214211,0,0,395832,12969
20-06-2020,delta7,1148612,65858,0,0,90116,4080
20-06-2020,total,6807226,228185,0,0,411750,13277
20-06-2020,delta,190730,13974,0,0,15918,308
21-06-2020,total,6950493,237260,0,0,426901,13703
21-06-2020,delta,143267,9075,0,0,15151,426
21-06-2020,delta7,1176360,67575,0,0,93863,4182
22-06-2020,total,7137716,248139,0,0,440461,14015
22-06-2020,delta,187223,10879,0,0,13560,312
22-06-2020,delta7,1216647,67814,0,0,97391,4098
23-06-2020,total,7352911,258601,0,0,456117,14483
23-06-2020,delta7,1268655,71050,0,0,101962,2562
23-06-2020,delta,215195,10462,0,0,15656,468
24-06-2020,total,7560782,271690,0,0,472985,14907
24-06-2020,delta7,1311114,77249,0,0,105722,2645
24-06-2020,delta,207871,13089,0,0,16868,424
25-06-2020,total,7776228,285673,0,0,491190,15308
25-06-2020,delta,215446,13983,0,0,18205,401
25-06-2020,delta7,1349601,80491,0,0,110098,2703
26-06-2020,total,7996707,295919,0,0,509445,15689
26-06-2020,delta,220479,10246,0,0,18255,381
26-06-2020,delta7,1380211,81708,0,0,113613,2720
27-06-2020,delta7,1420576,81963,0,0,117837,2826
27-06-2020,delta,231095,14229,0,0,20142,414
27-06-2020,total,8227802,310148,0,0,529587,16103
28-06-2020,delta,170560,11631,0,0,19610,384
28-06-2020,delta7,1447869,84519,0,0,122296,2784
28-06-2020,total,8398362,321779,0,0,549197,16487
29-06-2020,delta,210292,13497,0,0,18339,417
29-06-2020,total,8608654,335276,0,0,567536,16904
29-06-2020,delta7,1470938,87137,0,0,127075,2889
30-06-2020,total,8826585,347841,0,0,585791,17410
30-06-2020,delta,217931,12565,0,0,18255,506
30-06-2020,delta7,1473674,89240,0,0,129674,2927
01-07-2020,delta7,1495391,88215,0,0,132236,2941
01-07-2020,delta,229588,12064,0,0,19430,438
01-07-2020,total,9056173,359905,0,0,605221,17848
02-07-2020,delta7,1521521,94231,0,0,135978,2918
02-07-2020,total,9297749,379904,0,0,627168,18226
