STATE,DATE ,TYPE ,TESTED,RECOVERED,VACCINATED 2,VACCINATED 1,CONFIRMED,DECEASED
AN,26-06-2020,delta7,1653,8,0,0,25,0
AN,27-06-2020,delta,268,0,0,0,0,0
AN,27-06-2020,delta7,1531,8,0,0,25,0
AN,27-06-2020,total,14851,43,0,0,72,0
AN,28-06-2020,delta,243,2,0,0,11,0
AN,28-06-2020,delta7,1660,8,0,0,35,0
AN,28-06-2020,total,15094,45,0,0,83,0
AN,29-06-2020,total,15410,45,0,0,90,0
AN,29-06-2020,delta7,1899,8,0,0,42,0
AN,29-06-2020,delta,316,0,0,0,7,0
AN,30-06-2020,total,15709,45,0,0,97,0
AN,30-06-2020,delta,299,0,0,0,7,0
AN,30-06-2020,delta7,1986,5,0,0,47,0
AN,01-07-2020,delta7,1988,9,0,0,44,0
AN,01-07-2020,total,15982,50,0,0,100,0
AN,01-07-2020,delta,273,5,0,0,3,0
AN,02-07-2020,delta7,2001,10,0,0,51,0
AN,02-07-2020,total,16278,51,0,0,109,0
AN,02-07-2020,delta,296,1,0,0,9,0
AN,03-07-2020,total,16626,54,0,0,116,0
AN,03-07-2020,delta7,2043,11,0,0,44,0
AN,03-07-2020,delta,348,3,0,0,7,0
AN,04-07-2020,delta7,1981,23,0,0,47,0
AN,04-07-2020,delta,206,12,0,0,3,0
AN,04-07-2020,total,16832,66,0,0,119,0
AN,05-07-2020,delta7,1815,27,0,0,42,0
AN,05-07-2020,delta,77,6,0,0,6,0
AN,05-07-2020,total,16909,72,0,0,125,0
AN,06-07-2020,total,17095,74,0,0,141,0
AN,06-07-2020,delta7,1685,29,0,0,51,0
AN,06-07-2020,delta,186,2,0,0,16,0
AN,07-07-2020,total,17381,74,0,0,147,0
AN,07-07-2020,delta,286,0,0,0,6,0
AN,07-07-2020,delta7,1672,29,0,0,50,0
AN,08-07-2020,total,17643,74,0,0,149,0
AN,08-07-2020,delta,262,0,0,0,2,0
AN,08-07-2020,delta7,1661,24,0,0,49,0
AN,09-07-2020,delta,209,9,0,0,7,0
AN,09-07-2020,delta7,1574,32,0,0,47,0
AN,09-07-2020,total,17852,83,0,0,156,0
AN,10-07-2020,total,18046,92,0,0,156,0
AN,10-07-2020,delta,194,9,0,0,0,0
AN,10-07-2020,delta7,1420,38,0,0,40,0
AN,11-07-2020,total,18315,92,0,0,156,0
AN,11-07-2020,delta,269,0,0,0,0,0
AN,11-07-2020,delta7,1483,26,0,0,37,0
AN,12-07-2020,delta,132,8,0,0,7,0
AN,12-07-2020,delta7,1538,28,0,0,38,0
AN,12-07-2020,total,18447,100,0,0,163,0
AN,13-07-2020,total,18609,109,0,0,166,0
AN,13-07-2020,delta7,1514,35,0,0,25,0
AN,13-07-2020,delta,162,9,0,0,3,0
AN,14-07-2020,total,18884,129,0,0,171,0
AN,14-07-2020,delta,275,20,0,0,5,0
AN,14-07-2020,delta7,1503,55,0,0,24,0
AN,15-07-2020,delta7,1418,56,0,0,27,0
AN,15-07-2020,total,19061,130,0,0,176,0
AN,15-07-2020,delta,177,1,0,0,5,0
AN,16-07-2020,delta7,1375,50,0,0,24,0
AN,16-07-2020,delta,166,3,0,0,4,0
AN,16-07-2020,total,19227,133,0,0,180,0
AN,17-07-2020,delta,194,9,0,0,4,0
AN,17-07-2020,delta7,1375,50,0,0,28,0
AN,17-07-2020,total,19421,142,0,0,184,0
AN,18-07-2020,total,19671,145,0,0,188,0
AN,18-07-2020,delta,250,3,0,0,4,0
AN,18-07-2020,delta7,1356,53,0,0,32,0
AN,19-07-2020,delta,233,0,0,0,15,0
AN,19-07-2020,delta7,1457,45,0,0,40,0
AN,19-07-2020,total,19904,145,0,0,203,0
AN,20-07-2020,delta7,1692,42,0,0,41,0
AN,20-07-2020,total,20301,151,0,0,207,0
AN,20-07-2020,delta,397,6,0,0,4,0
AN,21-07-2020,total,20642,159,0,0,212,0
AN,21-07-2020,delta7,1758,30,0,0,41,0
AN,21-07-2020,delta,341,8,0,0,5,0
AN,22-07-2020,total,21043,163,0,0,221,0
AN,22-07-2020,delta,401,4,0,0,9,0
AN,22-07-2020,delta7,1982,33,0,0,45,0
AN,23-07-2020,delta,267,7,0,0,19,0
AN,23-07-2020,delta7,2083,37,0,0,60,0
AN,23-07-2020,total,21310,170,0,0,240,0
AN,24-07-2020,delta,433,4,0,0,19,0
AN,24-07-2020,delta7,2322,32,0,0,75,0
AN,24-07-2020,total,21743,174,0,0,259,0
AN,25-07-2020,total,21965,176,0,0,290,0
AN,25-07-2020,delta,222,2,0,0,31,0
AN,25-07-2020,delta7,2294,31,0,0,102,0
AN,26-07-2020,delta7,2145,35,0,0,115,0
AN,26-07-2020,total,22049,180,0,0,318,0
AN,26-07-2020,delta,84,4,0,0,28,0
AN,27-07-2020,total,22548,192,0,0,338,1
AN,27-07-2020,delta,499,12,0,0,20,1
AN,27-07-2020,delta7,2247,41,0,0,131,1
AN,28-07-2020,delta,377,4,0,0,25,0
AN,28-07-2020,total,22925,196,0,0,363,1
AN,28-07-2020,delta7,2283,37,0,0,151,1
AN,29-07-2020,total,23217,201,0,0,428,2
AN,29-07-2020,delta7,2174,38,0,0,207,2
AN,29-07-2020,delta,292,5,0,0,65,1
AN,30-07-2020,total,23615,201,0,0,470,3
AN,30-07-2020,delta,398,0,0,0,42,1
AN,30-07-2020,delta7,2305,31,0,0,230,3
AN,31-07-2020,delta,423,13,0,0,78,2
AN,31-07-2020,delta7,2295,40,0,0,289,5
AN,31-07-2020,total,24038,214,0,0,548,5
AN,01-08-2020,total,24308,226,0,0,636,7
AN,01-08-2020,delta7,2343,50,0,0,346,7
AN,01-08-2020,delta,270,12,0,0,88,2
AN,02-08-2020,total,24580,242,0,0,734,8
AN,02-08-2020,delta7,2531,62,0,0,416,8
AN,02-08-2020,delta,272,16,0,0,98,1
AN,03-08-2020,total,25034,263,0,0,830,10
AN,03-08-2020,delta,454,21,0,0,96,2
AN,03-08-2020,delta7,2486,71,0,0,492,9
AN,04-08-2020,total,25492,277,0,0,928,12
AN,04-08-2020,delta,458,14,0,0,98,2
AN,04-08-2020,delta7,2567,81,0,0,565,11
AN,05-08-2020,delta,334,49,0,0,99,2
AN,05-08-2020,delta7,2609,125,0,0,599,12
AN,05-08-2020,total,25826,326,0,0,1027,14
AN,06-08-2020,total,26516,355,0,0,1123,16
AN,06-08-2020,delta,690,29,0,0,96,2
AN,06-08-2020,delta7,2901,154,0,0,653,13
AN,07-08-2020,total,26915,425,0,0,1222,19
AN,07-08-2020,delta7,2877,211,0,0,674,14
AN,07-08-2020,delta,399,70,0,0,99,3
AN,08-08-2020,total,27073,500,0,0,1351,20
AN,08-08-2020,delta7,2765,274,0,0,715,13
AN,08-08-2020,delta,158,75,0,0,129,1
AN,09-08-2020,total,27103,648,0,0,1490,20
AN,09-08-2020,delta7,2523,406,0,0,756,12
AN,09-08-2020,delta,30,148,0,0,139,0
AN,10-08-2020,total,27346,709,0,0,1625,20
AN,10-08-2020,delta,243,61,0,0,135,0
AN,10-08-2020,delta7,2312,446,0,0,795,10
AN,11-08-2020,delta,109,40,0,0,139,1
AN,11-08-2020,delta7,1963,472,0,0,836,9
AN,11-08-2020,total,27455,749,0,0,1764,21
AN,12-08-2020,delta,289,80,0,0,136,0
AN,12-08-2020,delta7,1918,503,0,0,873,7
AN,12-08-2020,total,27744,829,0,0,1900,21
AN,13-08-2020,total,27973,924,0,0,2037,22
AN,13-08-2020,delta7,1457,569,0,0,914,6
AN,13-08-2020,delta,229,95,0,0,137,1
AN,14-08-2020,total,28129,1032,0,0,2186,24
AN,14-08-2020,delta7,1214,607,0,0,964,5
AN,14-08-2020,delta,156,108,0,0,149,2
AN,15-08-2020,delta7,1136,628,0,0,955,4
AN,15-08-2020,delta,80,96,0,0,120,0
AN,15-08-2020,total,28209,1128,0,0,2306,24
AN,16-08-2020,delta,20,98,0,0,93,4
AN,16-08-2020,delta7,1126,578,0,0,909,8
AN,16-08-2020,total,28229,1226,0,0,2399,28
AN,17-08-2020,total,28672,1325,0,0,2445,29
AN,17-08-2020,delta7,1326,616,0,0,820,9
AN,17-08-2020,delta,443,99,0,0,46,1
AN,18-08-2020,total,28937,1421,0,0,2529,30
AN,18-08-2020,delta,265,96,0,0,84,1
AN,18-08-2020,delta7,1482,672,0,0,765,9
AN,19-08-2020,delta,366,108,0,0,75,0
AN,19-08-2020,delta7,1559,700,0,0,704,9
AN,19-08-2020,total,29303,1529,0,0,2604,30
AN,20-08-2020,total,29487,1638,0,0,2680,31
AN,20-08-2020,delta,184,109,0,0,76,1
AN,20-08-2020,delta7,1514,714,0,0,643,9
AN,21-08-2020,total,29573,1744,0,0,2747,32
AN,21-08-2020,delta7,1444,712,0,0,561,8
AN,21-08-2020,delta,86,106,0,0,67,1
AN,22-08-2020,total,29888,1853,0,0,2808,32
AN,22-08-2020,delta7,1679,725,0,0,502,8
AN,22-08-2020,delta,315,109,0,0,61,0
AN,23-08-2020,delta,390,110,0,0,52,1
AN,23-08-2020,delta7,2049,737,0,0,461,5
AN,23-08-2020,total,30278,1963,0,0,2860,33
AN,24-08-2020,total,30513,2092,0,0,2904,35
AN,24-08-2020,delta7,1841,767,0,0,459,6
AN,24-08-2020,delta,235,129,0,0,44,2
AN,25-08-2020,total,31082,2231,0,0,2945,37
AN,25-08-2020,delta,569,139,0,0,41,2
AN,25-08-2020,delta7,2145,810,0,0,416,7
AN,26-08-2020,total,31646,2309,0,0,2985,41
AN,26-08-2020,delta,564,78,0,0,40,4
AN,26-08-2020,delta7,2343,780,0,0,381,11
AN,27-08-2020,delta7,2343,736,0,0,338,11
AN,27-08-2020,total,31830,2374,0,0,3018,42
AN,27-08-2020,delta,184,65,0,0,33,1
AN,28-08-2020,total,32100,2444,0,0,3050,42
AN,28-08-2020,delta7,2527,700,0,0,303,10
AN,28-08-2020,delta,270,70,0,0,32,0
AN,29-08-2020,total,32407,2519,0,0,3081,44
AN,29-08-2020,delta7,2519,666,0,0,273,12
AN,29-08-2020,delta,307,75,0,0,31,2
AN,30-08-2020,delta,267,67,0,0,23,1
AN,30-08-2020,delta7,2396,623,0,0,244,12
AN,30-08-2020,total,32674,2586,0,0,3104,45
AN,31-08-2020,total,33485,2647,0,0,3132,46
AN,31-08-2020,delta,811,61,0,0,28,1
AN,31-08-2020,delta7,2972,555,0,0,228,11
AN,01-09-2020,total,35104,2714,0,0,3160,46
AN,01-09-2020,delta,1619,67,0,0,28,0
